id,reg,car_description,car_make_model,road_tax_status,mot_status,exported,average,engine,EngineLitres,EuroStatus,FuelType,KeeperStartDate,LastMOTMileage,LastV5CIssueDate,MOT,MileageIssues,ModelDescription,ModelVariant,PrimaryColour,RegistrationDate,RegistrationPlace,Status,Tax12MonthsCost,Tax6MonthsCost,Transmission,TypeApproval,VehicleAge,WheelPlan,YearManufacture,isSold,co2,manufacturer,mileage,sell,created_on,car_order,taxDueDate,motExpiryDate,carViews
64,WP61VSJ,,SKODA YETI,✗ Expired: 15 Mar 2024 66 days ago,✓ Expires: 05 Jan 2025 231 days left,NO,7959,1968 cc,,EURO 5,Diesel,,95502.0,28 August 2014,£45,No,YETI ELEGANCE TDI CR 170,YETI,Blue,2012.01.05,Bristol,MEDIUM,£240,£132,,M1,12 Years 4 Months,2 AXLE RIGID BODY,2012,1,155 g/km (,SKODA,96000,5300,2024-05-20 09:30:58,0.0,2024-03-15,2025-01-05,4
74,RJ15DVN,,KIA RIO,✗ Expired: 20 Apr 2024 48 days ago,✓ Expires: 06 Jan 2025 214 days left,NO,10316,1396 cc,,EURO 6,Diesel,,92846.0,04 January 2018,£45,No,RIO 2 ISG CRDI,RIO,Black,2015.06.11,Reading,MEDIUM,£0,,,M1,9 Years 0 Months,2 AXLE RIGID BODY,2015,1,98 g/km (A,KIA,97039,4200,2024-06-07 05:41:29,0.0,2024-04-20,2025-01-06,10
76,VX63JVR,,FORD MONDEO,✓ Expires: 01 Jun 2025 356 days left,✓ Expires: 28 Sep 2024 111 days left,NO,9430,1997 cc,,EURO 5,Diesel,,103731.0,05 June 2024,£45,No,MONDEO ZETEC BUSINESS EDN TDCI,MONDEO,Black,2013.09.29,Worcester,MEDIUM,£35,,,M1,10 Years 9 Months,2 AXLE RIGID BODY,2013,1,120 g/km (,FORD,105000,3300,2024-06-10 04:48:11,0.0,2025-06-01,2024-09-28,9
79,JM06LAN,,FORD FOCUS,✗ Expired: 11 May 2024 47 days ago,✓ Expires: 11 Dec 2024 168 days left,NO,7949,999 cc,,EURO 6,Petrol,,71541.0,04 May 2024,£45,No,FOCUS ZETEC S,FOCUS,Black,2015.03.02,,MEDIUM,£20,,,M1,9 Years 3 Months,2 AXLE RIGID BODY,2015,1,108 g/km (,FORD,73000,5800,2024-06-27 02:03:13,0.0,2024-05-11,2024-12-11,18
69,EA61 GYZ,,AUDI A3,✗ Expired: 30 Mar 2024 65 days ago,✓ Expires: 28 Sep 2024 118 days left,NO,2499,1798 cc,,EURO 4,Petrol,,32488.0,25 April 2012,£45,No,,A3,Blue,2011.10.21,Chelmsford,LOW,£255,£140.25,,M1,12 Years 8 Months,2 AXLE RIGID BODY,2011,1,156 g/km (,AUDI,40000,5300,2024-06-03 04:37:11,0.0,2024-03-30,2024-09-28,0
75,VE12TCY,,HONDA JAZZ,✗ Expired: 25 Mar 2024 77 days ago,✓ Expires: 31 May 2025 356 days left,NO,6729,1339 cc,,EURO 5,Petrol,,80748.0,25 April 2013,£45,No,JAZZ I-VTEC ES,JAZZ,Brown,2012.06.29,Worcester,MEDIUM,£160,£88,,M1,12 Years 0 Months,2 AXLE RIGID BODY,2012,1,126 g/km (,HONDA,80000,3950,2024-06-10 04:34:41,0.0,2024-03-25,2025-05-31,0
80,EK09JWF,,FORD S-MAX,✓ SORN,✓ Expires: 18 Jun 2025 351 days left,NO,6620,1997 cc,,EURO 4,Diesel,,99307.0,25 October 2023,£45,No,S-MAX ZETEC TDCI,S-MAX,Black,2009.07.30,Chelmsford,MEDIUM,£255,£140.25,,M1,15 Years 0 Months,2 AXLE RIGID BODY,2009,1,159 g/km (,FORD,11111,2700,2024-07-03 09:02:00,0.0,,2025-06-18,0
81,EF61OHK,,MINI COUNTRYMAN ONE,✓ Expires: 01 Aug 2024 27 days left,✓ Expires: 12 Jul 2025 373 days left,NO,5955,1598 cc,,EURO 5,Petrol,,71457.0,04 August 2021,£45,No,COUNTRYMAN ONE,COUNTRYMAN ONE,White,2012.01.16,Chelmsford,MEDIUM,£190,£104.50,,M1,12 Years 6 Months,2 AXLE RIGID BODY,2012,1,139 g/km (,MINI,11111,4600,2024-07-05 02:47:34,0.0,2024-08-01,2025-07-12,0
86,YN07YDF,,,,,,0,,,,,,,,,,SLK 200 KOMPRESSOR AUTO,,,,,,,,,,,,,1,,,88888,4200,2024-07-30 03:29:15,0.0,,,0
87,FT11BZV,,,,,,0,,,,,,,,,,OCTAVIA GREENLINE TDI CR,,,,,,,,,,,,,1,,,133000,2500,2024-08-01 05:41:43,0.0,,,0
115,OV10WVM,,,,,,0,,,,,,,,,,JAZZ EX I-VTEC,,,,,,,,,,,,,1,,,58000,2800,2024-09-03 03:57:14,0.0,,,0
116,GY56XVP,,,,,,0,,,,,,,,,,325I SE AUTO,,,,,,,,,,,,,1,,,115963,2400,2024-09-05 08:23:38,0.0,,,0
68,WV10JCZ,,MINI MINI,✗ Expired: 14 May 2024 15 days ago,✓ Expires: 26 Mar 2025 302 days left,NO,6039,1560 cc,,EURO 4,Diesel,,84539.0,23 May 2018,£45,No,COOPER D CLUBMAN,MINI,White,2010.03.03,Bristol,MEDIUM,£20,,,M1,14 Years 2 Months,2 AXLE RIGID BODY,2010,1,109 g/km (,MINI,85000,3995,2024-05-29 03:07:17,1.0,2024-05-14,2025-03-26,27
156,MH18KHY,,VOLKSWAGEN,Untaxed,Valid,,0,1395,,,HYBRID ELECTRIC,,,2018-08-01,,,PASSAT GTE S-A,,SILVER,2018-08,,,,,,M1,,2 AXLE RIGID BODY,2018,1,40,VOLKSWAGEN,116424,8995,2024-10-30 07:15:31,1.0,2024-10-18,2025-07-31,14
33,MX60OUH,,AUDI TT,✗ Expired: 22 Sep 2023 214 days ago,✓ Expires: 11 Aug 2024 111 days left,NO,8445,1798 cc,,EURO 5,Petrol,,118228.0,08 October 2015,£45,No,TT TFSI,TT,White,2010.10.20,Manchester,MEDIUM,£240,£132,,M1,13 Years 3 Months,2 AXLE RIGID BODY,2010,1,152 g/km (,AUDI,119000,4300,2024-01-06 13:35:09,2.0,2023-09-22,2024-08-11,3
50,RO63VEH,,MERCEDES-BENZ SLK,✗ Expired: 14 Mar 2024 44 days ago,✓ Expires: 12 Dec 2024 230 days left,NO,9949,2143 cc,,EURO 5,Diesel,,109443.0,21 May 2021,£45,No,SLK250 AMG SPORT CDI BLUE-CY A,SLK,Grey,2013.11.08,Reading,MEDIUM,£180,£99,,M1,10 Years 5 Months,2 AXLE RIGID BODY,2013,1,132 g/km (,MERCEDES-BENZ,110000,6700,2024-04-25 04:37:17,2.0,2024-03-14,2024-12-12,9
